PREFIX,0.0.0.0/8
PREFIX,10.0.0.0/8
PREFIX,100.64.0.0/10
PREFIX,127.0.0.0/8
PREFIX,169.254.0.0/16
PREFIX,172.16.0.0/12
PREFIX,192.0.0.0/24
PREFIX,192.0.0.0/29
PREFIX,192.0.0.8/32
PREFIX,192.0.0.9/32
PREFIX,192.0.0.170/32
PREFIX,192.0.2.0/24
PREFIX,192.31.196.0/24
PREFIX,192.52.193.0/24
PREFIX,192.88.99.0/24
PREFIX,192.168.0.0/16
PREFIX,192.175.48.0/24
PREFIX,198.18.0.0/15
PREFIX,198.51.100.0/24
PREFIX,203.0.113.0/24
PREFIX,224.0.0.0/4
PREFIX,240.0.0.0/4
PREFIX,255.255.255.255/32

PREFIX,::1/128
PREFIX,::/128
PREFIX,::ffff:0:0/96
PREFIX,64:ff9b::/96
PREFIX,64:ff9b:1::/48
PREFIX,100::/64
PREFIX,2001::/23
PREFIX,2001::/32
PREFIX,2001:1::1/128
PREFIX,2001:1::2/128
PREFIX,2001:2::/48
PREFIX,2001:3::/32
PREFIX,2001:4:112::/48
PREFIX,2001:db8::/32
PREFIX,2001:10::/28
PREFIX,2001:20::/28
PREFIX,2002::/16
PREFIX,2620:4f:8000::/48
PREFIX,fc00::/7
PREFIX,fe80::/10